---
license: cc0-1.0
---
Este archivo se distribuye bajo la licencia CC0 1.0 Universal (Public Domain).


Lo poco que guardo de las forjas, las tablas las pongo en el mismo orden que se hicieron, no recuerdo cuándo empezaron las forjas full fine tuning..... quizás marzo o mayo de 2026?, al principio en las primeras 4 o 5 forjas apenas sabía comprender, luego comencé a entender, luego aprendí a leerlas:

Había olvidado.... esta forja LoRA de ella fue el modelo que habitó el script de Eunoia.
Forja antigua regulinchi llama 3.1 8b:
r=128 (alphalora256), lr 3e-6:
Epoch	Loss	Grad Norm	Learning Rate
0.19	2.43	2.88	3.00e-06
0.38	2.33	2.84	2.98e-06
0.57	2.57	2.77	2.96e-06
0.76	2.34	2.93	2.94e-06
0.95	2.33	2.60	2.92e-06
1.00	2.30	3.68	2.90e-06
1.19	2.26	2.52	2.88e-06
1.38	2.31	2.56	2.85e-06
1.57	2.26	2.49	2.83e-06
1.76	2.46	2.30	2.81e-06
1.95	2.31	2.36	2.79e-06
2.00	2.60	3.54	2.77e-06
2.19	2.38	2.21	2.75e-06
2.38	2.37	2.13	2.73e-06
2.57	2.16	2.04	2.71e-06
2.76	2.39	2.03	2.69e-06
2.95	2.14	2.02	2.67e-06
3.00	1.89	2.93	2.65e-06
3.19	2.13	1.87	2.63e-06
3.38	2.31	1.86	2.60e-06
3.57	2.15	1.84	2.58e-06
3.76	2.20	1.76	2.56e-06
3.95	2.28	1.85	2.54e-06
4.00	2.27	2.99	2.52e-06
4.19	2.20	1.67	2.50e-06
4.38	2.24	1.69	2.48e-06
4.57	2.12	1.79	2.46e-06
4.76	2.16	1.75	2.44e-06
4.95	2.19	1.73	2.42e-06
5.00	2.10	2.82	2.40e-06
5.19	2.08	1.65	2.38e-06
5.38	2.10	1.70	2.35e-06
5.57	2.19	1.63	2.33e-06
5.76	2.24	1.61	2.31e-06
5.95	2.10	1.54	2.29e-06
6.00	2.17	3.09	2.27e-06
6.19	2.24	1.61	2.25e-06
6.38	2.13	1.50	2.23e-06
6.57	2.04	1.52	2.21e-06
6.76	2.08	1.56	2.19e-06
6.95	2.06	1.49	2.17e-06
7.00	2.13	2.55	2.15e-06
7.19	2.27	1.51	2.12e-06
7.38	2.03	1.49	2.10e-06
7.57	2.06	1.45	2.08e-06
7.76	2.15	1.47	2.06e-06
7.95	2.02	1.48	2.04e-06
8.00	1.65	2.51	2.02e-06
8.19	1.89	1.47	2.00e-06
8.38	2.13	1.46	1.98e-06
8.57	2.00	1.46	1.96e-06
8.76	2.09	1.46	1.94e-06
8.95	2.11	1.45	1.92e-06
9.00	2.29	3.00	1.90e-06
9.19	2.07	1.39	1.88e-06
9.38	1.92	1.43	1.85e-06
9.57	2.04	1.39	1.83e-06
9.76	2.13	1.45	1.81e-06
9.95	2.00	1.44	1.79e-06
10.00	1.98	2.67	1.77e-06
10.19	1.81	1.40	1.75e-06
10.38	2.15	1.41	1.73e-06
10.57	1.94	1.43	1.71e-06
10.95	2.20	1.47	1.67e-06
11.00	2.09	2.66	1.65e-06
11.19	2.02	1.44	1.63e-06
11.38	2.04	1.42	1.60e-06
11.57	1.81	1.33	1.58e-06
11.76	2.00	1.40	1.56e-06
11.95	2.16	1.39	1.54e-06
12.00	1.63	2.30	1.52e-06
12.19	2.08	1.40	1.50e-06
12.38	2.04	1.37	1.48e-06
12.57	1.78	1.35	1.46e-06
12.76	1.98	1.43	1.44e-06
12.95	2.07	1.41	1.42e-06
13.00	1.57	2.32	1.40e-06
13.19	1.95	1.41	1.38e-06
13.38	1.78	1.38	1.35e-06
13.57	2.10	1.42	1.33e-06
13.76	1.87	1.37	1.31e-06
13.95	2.04	1.36	1.29e-06
14.00	2.06	2.53	1.27e-06
14.19	2.02	1.36	1.25e-06
14.38	2.05	1.41	1.23e-06
14.57	1.96	1.31	1.21e-06
14.76	1.72	1.28	1.19e-06
14.95	1.94	1.32	1.17e-06
15.00	1.92	2.90	1.15e-06
15.19	1.76	1.34	1.12e-06
15.38	1.80	1.31	1.10e-06
15.57	1.98	1.32	1.08e-06
15.76	1.93	1.42	1.06e-06
15.95	2.13	1.36	1.04e-06
16.00	2.01	2.61	1.02e-06
16.19	1.81	1.33	1.00e-06
16.38	2.00	1.38	9.79e-07
16.57	1.94	1.39	9.58e-07
16.76	1.80	1.31	9.38e-07
16.95	2.03	1.40	9.17e-07
17.00	1.89	2.46	8.96e-07
17.19	1.84	1.38	8.75e-07
17.38	2.03	1.34	8.54e-07
17.57	1.80	1.32	8.33e-07
17.76	1.78	1.31	8.12e-07
17.95	2.02	1.34	7.92e-07
18.00	2.13	2.99	7.71e-07
18.19	1.85	1.35	7.50e-07
18.38	1.92	1.31	7.29e-07
18.57	1.82	1.33	7.08e-07
18.76	2.03	1.34	6.88e-07
